names,date,score,genre,country
The Exorcism of God,7/1/2022,72,Horror,AU
Ghosts of the Ozarks,2/4/2022,63,"Western, Horror, Mystery",US
Kompromat,12/1/2022,65,"Thriller, Drama",AU
Matadero,12/9/2022,60,Drama,ES
Air,4/5/2023,79,Drama,AU
Disenchanted,11/18/2022,70,"Comedy, Family, Fantasy",AU
Luck,8/5/2022,79,"Animation, Adventure, Comedy, Fantasy",AU
Bullet Train,8/4/2022,75,"Action, Comedy, Thriller",AU
Night at the Museum: Kahmunrah Rises Again,12/9/2022,69,"Animation, Comedy, Family, Fantasy",US
Blade of the 47 Ronin,10/25/2022,67,"Action, Drama, Fantasy, Thriller",AU
Sing 2,12/26/2021,80,"Animation, Family",AU
Shark Bait,6/6/2022,59,"Horror, Thriller, Action, Adventure",GB
Shrek,6/21/2001,77,"Animation, Comedy, Fantasy, Adventure, Family",AU
Orgasm Inc: The Story of OneTaste,11/5/2022,64,Documentary,US
In His Shadow,3/17/2023,62,"Drama, Thriller, Crime",FR
Savage Salvation,12/2/2022,66,Thriller,US
Sisu,1/27/2023,74,"War, Action",FI
"Tango, Tequila and Some Lies",3/9/2023,77,"Comedy, Romance",MX
Hotel Transylvania: Transformania,1/14/2022,71,"Animation, Comedy, Family, Fantasy, Adventure",AU
Operation Fortune: Ruse de Guerre,1/12/2023,67,"Action, Thriller, Comedy",AU
Kids vs. Aliens,1/20/2023,60,"Science Fiction, Horror, Adventure, Action",US
Everything Everywhere All at Once,4/14/2022,79,"Action, Adventure, Science Fiction",AU
Glass Onion: A Knives Out Mystery,11/23/2022,71,"Comedy, Crime, Mystery",AU
Suro,12/2/2022,73,"Thriller, Drama",ES
The Lair,8/25/2022,59,"Horror, Action",GB
My Hero Academia: World Heroes' Mission,10/28/2021,76,"Animation, Action, Adventure, Science Fiction",AU
Unhappily Ever After,1/26/2023,81,"Comedy, Romance",MX
Evil Eye,9/22/2022,68,Horror,MX
Inspector Sun and the Curse of the Black Widow,12/28/2022,68,"Animation, Family",ES
